"SampleCode";"PeakNumber";"Compound";"SpectrumFilename";"ReferenceSpectrum";"TypicallyMonitored";"Source";"Class";"Identification";"Comment";"OBSERVATION";"NameInSoftwareComment";"InPacificLibrary";"InAtlanticLibrary";"FragmentIdentification";"AtlanticLibrary";"UsePeakApexMS";"Formula";"Halogenation";"RetentionTime1D";"RetentionTime2D";"QuantIon";"PeakArea";"UniqueMass";"SpectralSimilarity";"LipidMass";"InternalStandardArea";"RelativeArea";"Matrix";"Instrument"
"MQ429";2691;"oxychlordane";"oxychlordane_MQ429";"oxychlordane_MQ429";TRUE;"anthropogenic";"Chlordane-related";"Reference Database MS";NA;NA;"CHLORDANE, OXY";TRUE;TRUE;"235 [C5Cl5]+; 261 [C7H2Cl5]+; 349 [M-HCl2]+; 385 [M-Cl]+; 420 M+";"oxychlordane";NA;"C10H4Cl8O";"chlorinated";1303.1;0.944;389;9708.6;389;741;0.31;269519;0.116199839;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ447";2625;"oxychlordane";"oxychlordane_MQ447";"oxychlordane_MQ429";TRUE;"anthropogenic";"Chlordane-related";"Reference Database MS";NA;NA;"CHLORDANE, OXY";TRUE;TRUE;"235 [C5Cl5]+; 261 [C7H2Cl5]+; 349 [M-HCl2]+; 385 [M-Cl]+; 420 M+";"oxychlordane";NA;"C10H4Cl8O";"chlorinated";1303.1;0.937;389;11073;389;652;0.52;368079;0.057852338;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ447";2785;"trans nonachlor";"trans_nonachlor_MQ447";"trans_nonachlor_MQ429";TRUE;"anthropogenic";"Chlordane-related";"Authentic MS RT";NA;NA;"CHLOR, TRANS- NONA";TRUE;TRUE;"261 [M-H4Cl5]+; 409 [M-Cl]+";"trans-Nonachlor";NA;"C10H5Cl9";"chlorinated";1348.57;0.944;409;421714;409;916;0.52;368079;2.203300002;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ425";3694;"trans nonachlor";"trans_nonachlor_MQ425";"trans_nonachlor_MQ429";TRUE;"anthropogenic";"Chlordane-related";"Authentic MS RT";NA;NA;"CHLOR, TRANS- NONA";TRUE;TRUE;"261 [M-H4Cl5]+; 409 [M-Cl]+";"trans-Nonachlor";NA;"C10H5Cl9";"chlorinated";1352.07;0.957;409;60927;326;NA;0.5;136167;0.894886426;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ429";2892;"trans nonachlor";"trans_nonachlor_MQ429";"trans_nonachlor_MQ429";TRUE;"anthropogenic";"Chlordane-related";"Authentic MS RT";NA;NA;"CHLOR, TRANS- NONA";TRUE;TRUE;"261 [M-H4Cl5]+; 409 [M-Cl]+";"trans-Nonachlor";NA;"C10H5Cl9";"chlorinated";1352.07;0.95;409;358851;409;902;0.31;269519;4.294999132;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ512";3122;"trans nonachlor";"trans_nonachlor_MQ512";"trans_nonachlor_MQ429";TRUE;"anthropogenic";"Chlordane-related";"Authentic MS RT";NA;NA;"CHLOR, TRANS- NONA";TRUE;TRUE;"261 [M-H4Cl5]+; 409 [M-Cl]+";"trans-Nonachlor";NA;"C10H5Cl9";"chlorinated";1352.07;0.937;409;35968;409;768;0.31;234538;0.494699394;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ429";2692;"heptachlor epoxide";"heptachlor_epoxide_MQ429";"heptachlor_epoxide_MQ429";TRUE;"anthropogenic";"Heptachlor-related";"Authentic MS RT";NA;"WHY NOT CHLORDANE-RELATED?";"CHLOR, HEPTA- EPOXIDE";TRUE;TRUE;"351 [M-Cl]+";"heptachlor epoxide";NA;"C10H5Cl7O";"chlorinated";1303.1;0.97;353;22702;353;649;0.31;269519;0.27171464;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ447";2626;"heptachlor epoxide";"heptachlor_epoxide_MQ447";"heptachlor_epoxide_MQ429";TRUE;"anthropogenic";"Heptachlor-related";"Authentic MS RT";NA;"WHY NOT CHLORDANE-RELATED?";"CHLOR, HEPTA- EPOXIDE";TRUE;TRUE;"351 [M-Cl]+";"heptachlor epoxide";NA;"C10H5Cl7O";"chlorinated";1303.1;0.97;353;26017;326;NA;0.52;368079;0.135929223;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ512";2923;"heptachlor epoxide";"heptachlor_epoxide_MQ512";"heptachlor_epoxide_MQ429";TRUE;"anthropogenic";"Heptachlor-related";"Authentic MS RT";NA;"WHY NOT CHLORDANE-RELATED?";"CHLOR, HEPTA- EPOXIDE";TRUE;TRUE;"351 [M-Cl]+";"heptachlor epoxide";NA;"C10H5Cl7O";"chlorinated";1303.1;0.964;353;1628.1;248;NA;0.31;234538;0.022392685;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ425";3483;"heptachlor epoxide";"heptachlor_epoxide_MQ425";"heptachlor_epoxide_MQ429";TRUE;"anthropogenic";"Heptachlor-related";"Authentic MS RT";NA;"WHY NOT CHLORDANE-RELATED?";"CHLOR, HEPTA- EPOXIDE";TRUE;TRUE;"351 [M-Cl]+";"heptachlor epoxide";NA;"C10H5Cl7O";"chlorinated";1306.6;0.964;353;11068;353;529;0.5;136167;0.162565086;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
